                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.28059,                0.35515,                0.84988,                0.98435,                0.99035,                 0.9941,                0.95665,                0.22597,                0.17043,                0.81694,             0.00010773,             0.00010773,             0.00010773
                     70,                0.27494,                0.34521,                 0.8512,                0.98551,                 0.9911,                0.99425,                0.96282,                0.23097,                0.16516,                0.81958,             0.00010511,             0.00010511,             0.00010511
                     71,                0.27631,                0.35502,                0.84817,                0.98369,                0.99401,                0.99404,                0.96042,                0.22539,                0.16401,                0.81373,             0.00010248,             0.00010248,             0.00010248
                     72,                0.26526,                 0.3354,                0.84308,                0.98574,                0.98851,                0.99399,                0.95832,                0.23367,                0.16822,                0.82083,             9.9862e-05,             9.9862e-05,             9.9862e-05
                     73,                 0.2658,                 0.3516,                0.84243,                0.98499,                0.98493,                0.99445,                0.95539,                0.23317,                0.17166,                0.82288,              9.724e-05,              9.724e-05,              9.724e-05
                     74,                0.26416,                0.34145,                0.84814,                0.98778,                0.99229,                0.99447,                0.95668,                0.23445,                0.16371,                0.82349,             9.4618e-05,             9.4618e-05,             9.4618e-05
                     75,                0.26675,                0.32897,                0.84571,                0.97456,                0.99109,                0.99442,                0.96017,                 0.2322,                0.15905,                0.81947,             9.1997e-05,             9.1997e-05,             9.1997e-05
                     76,                0.26496,                0.33069,                0.84524,                0.98664,                0.99354,                 0.9945,                0.96208,                0.22684,                0.15858,                0.81471,             8.9375e-05,             8.9375e-05,             8.9375e-05
                     77,                0.26918,                  0.339,                0.84459,                0.98373,                0.98956,                0.99423,                0.95805,                0.22419,                0.16428,                0.81021,             8.6753e-05,             8.6753e-05,             8.6753e-05
                     78,                0.25893,                0.32411,                0.84509,                0.98668,                0.99501,                0.99421,                0.96069,                0.22021,                0.15621,                 0.8088,             8.4132e-05,             8.4132e-05,             8.4132e-05
                     79,                0.25889,                0.32081,                0.84112,                0.98558,                0.99302,                0.99362,                0.96055,                0.21809,                0.15766,                0.80967,              8.151e-05,              8.151e-05,              8.151e-05
                     80,                0.25935,                0.32685,                0.84319,                0.98817,                0.98868,                0.99395,                0.96297,                0.22339,                0.15777,                0.81281,             8.0788e-05,             8.0788e-05,             8.0788e-05
                     81,                0.25969,                0.33277,                0.83897,                0.98426,                0.99034,                0.99429,                0.96571,                0.21908,                0.16272,                0.81228,             7.8191e-05,             7.8191e-05,             7.8191e-05
                     82,                0.25952,                 0.3199,                 0.8427,                0.98245,                0.99077,                0.99418,                0.96096,                 0.2226,                0.15806,                0.81458,             7.5593e-05,             7.5593e-05,             7.5593e-05
                     83,                0.25599,                0.31475,                0.84179,                0.96809,                0.99087,                0.99322,                 0.9619,                0.22084,                 0.1659,                0.81084,             7.2996e-05,             7.2996e-05,             7.2996e-05
